gageid,agency,domain
02378170,USGS,CONUS
02380500,USGS,CONUS
02384500,USGS,CONUS
02387600,USGS,CONUS
02388975,USGS,CONUS
02390000,USGS,CONUS
02390140,USGS,CONUS
02392975,USGS,CONUS
02395120,USGS,CONUS
02400680,USGS,CONUS
02408540,USGS,CONUS
02415000,USGS,CONUS
02418760,USGS,CONUS
02421000,USGS,CONUS
02422500,USGS,CONUS
02423130,USGS,CONUS
02423400,USGS,CONUS
02427250,USGS,CONUS
02430085,USGS,CONUS
02430880,USGS,CONUS
02438000,USGS,CONUS
02448900,USGS,CONUS
02450250,USGS,CONUS
02450825,USGS,CONUS
02453000,USGS,CONUS
02455980,USGS,CONUS
02457595,USGS,CONUS
02464000,USGS,CONUS
02465493,USGS,CONUS
02467500,USGS,CONUS
02469800,USGS,CONUS
02470072,USGS,CONUS
02472000,USGS,CONUS
02472500,USGS,CONUS
02472850,USGS,CONUS
02479155,USGS,CONUS
02479300,USGS,CONUS
02479560,USGS,CONUS
02479945,USGS,CONUS
02481000,USGS,CONUS
02481510,USGS,CONUS
02481880,USGS,CONUS
02AB021,ENVCA,CONUS
02AC001,ENVCA,CONUS
02AD010,ENVCA,CONUS
02BA003,ENVCA,CONUS
02BB003,ENVCA,CONUS
02BC006,ENVCA,CONUS
02BF002,ENVCA,CONUS
02CF011,ENVCA,CONUS
02DC012,ENVCA,CONUS
02EA018,ENVCA,CONUS
02EB014,ENVCA,CONUS
02ED003,ENVCA,CONUS
02FA004,ENVCA,CONUS
02FB007,ENVCA,CONUS
02FD001,ENVCA,CONUS
02FE008,ENVCA,CONUS
02FF007,ENVCA,CONUS
02GB007,ENVCA,CONUS
02GC002,ENVCA,CONUS
02GG003,ENVCA,CONUS
02GH002,ENVCA,CONUS
02HA006,ENVCA,CONUS
02HB029,ENVCA,CONUS
02HC025,ENVCA,CONUS
02HD012,ENVCA,CONUS
02HL005,ENVCA,CONUS
02HM010,ENVCA,CONUS
03010655,USGS,CONUS
03010820,USGS,CONUS
03011800,USGS,CONUS
03015500,USGS,CONUS
03021350,USGS,CONUS
03028000,USGS,CONUS
03029000,USGS,CONUS
03032500,USGS,CONUS
03042000,USGS,CONUS
03045000,USGS,CONUS
03050000,USGS,CONUS
03052000,USGS,CONUS
03052500,USGS,CONUS
03065000,USGS,CONUS
03068800,USGS,CONUS
03069500,USGS,CONUS
03070500,USGS,CONUS
03072000,USGS,CONUS
03075905,USGS,CONUS
03076600,USGS,CONUS
03078000,USGS,CONUS
03093000,USGS,CONUS
03110830,USGS,CONUS
03114500,USGS,CONUS
03115400,USGS,CONUS
03140000,USGS,CONUS
03141870,USGS,CONUS
03144000,USGS,CONUS
03145483,USGS,CONUS
03149500,USGS,CONUS
03151400,USGS,CONUS
03154000,USGS,CONUS
03159540,USGS,CONUS
03161000,USGS,CONUS
03164000,USGS,CONUS
03165000,USGS,CONUS
03170000,USGS,CONUS
03173000,USGS,CONUS
03175500,USGS,CONUS
03177710,USGS,CONUS
03180500,USGS,CONUS
03183500,USGS,CONUS
03186500,USGS,CONUS
03187500,USGS,CONUS
03198350,USGS,CONUS
03201405,USGS,CONUS
03201902,USGS,CONUS
03202400,USGS,CONUS
03206600,USGS,CONUS
03207800,USGS,CONUS
03208950,USGS,CONUS
03210000,USGS,CONUS
03212750,USGS,CONUS
03212980,USGS,CONUS
03213500,USGS,CONUS
03217500,USGS,CONUS
03228750,USGS,CONUS
03230310,USGS,CONUS
03230500,USGS,CONUS
03237280,USGS,CONUS
03237500,USGS,CONUS
03241500,USGS,CONUS
03248300,USGS,CONUS
03251200,USGS,CONUS
03252300,USGS,CONUS
03254550,USGS,CONUS
03271300,USGS,CONUS
03272700,USGS,CONUS
03275000,USGS,CONUS
03277075,USGS,CONUS
03277130,USGS,CONUS
03277300,USGS,CONUS
03280700,USGS,CONUS
03281100,USGS,CONUS
03281500,USGS,CONUS
03282040,USGS,CONUS
03282500,USGS,CONUS
03285000,USGS,CONUS
03291500,USGS,CONUS
03291780,USGS,CONUS
03292474,USGS,CONUS
03300400,USGS,CONUS
03302680,USGS,CONUS
03307000,USGS,CONUS
03314000,USGS,CONUS
03318800,USGS,CONUS
03328000,USGS,CONUS
03339500,USGS,CONUS
03340800,USGS,CONUS
03346000,USGS,CONUS
03351072,USGS,CONUS
03357330,USGS,CONUS
03361650,USGS,CONUS
03364500,USGS,CONUS
03366500,USGS,CONUS
03368000,USGS,CONUS
03373508,USGS,CONUS
